id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401760663_91763,401760663_3,401760663,3,33,UCF,Big 12,39,Kennesaw State,Kennesaw State,UCF,Conference USA,33,3,"{""minutes"": 10, ""seconds"": 8}",0,0,away 66,59,,,8,False,Pass,Mock Pass play #33,-0.07846495730315699,2025-12-05T20:12:36.000Z
401760663_91764,401760663_3,401760663,3,34,Kennesaw State,Conference USA,19,UCF,Kennesaw State,UCF,Big 12,21,3,"{""minutes"": 4, ""seconds"": 17}",0,1,home 37,60,,,0,False,Punt,Mock Punt play #34,-0.03465333297888765,2025-12-16T14:49:54.000Z
401760663_91765,401760663_3,401760663,3,35,Kennesaw State,Conference USA,40,UCF,Kennesaw State,UCF,Big 12,3,3,"{""minutes"": 3, ""seconds"": 54}",2,0,home 15,9,,,0,False,Punt,Mock Punt play #35,-0.09974129854939777,2025-12-19T16:07:40.000Z
401760663_91766,401760663_4,401760663,4,36,Kennesaw State,Conference USA,4,UCF,Kennesaw State,UCF,Big 12,38,3,"{""minutes"": 1, ""seconds"": 47}",0,2,home 23,95,,,0,False,Kneel,Mock Kneel play #36,-0.05059798707421682,2025-11-17T06:45:10.000Z
401760663_91767,401760663_4,401760663,4,37,Kennesaw State,Conference USA,30,UCF,Kennesaw State,UCF,Big 12,4,3,"{""minutes"": 7, ""seconds"": 42}",3,0,home 84,86,2.0,7.0,1,False,Pass,Mock Pass play #37,0.5713672738482908,2025-12-12T09:40:45.000Z
401760663_91768,401760663_4,401760663,4,38,Kennesaw State,Conference USA,48,UCF,Kennesaw State,UCF,Big 12,10,3,"{""minutes"": 2, ""seconds"": 59}",0,2,home 49,13,2.0,12.0,7,False,Pass,Mock Pass play #38,0.15340911779256622,2025-11-11T01:13:57.000Z
401760663_91769,401760663_4,401760663,4,39,Kennesaw State,Conference USA,18,UCF,Kennesaw State,UCF,Big 12,0,3,"{""minutes"": 10, ""seconds"": 40}",2,0,home 56,58,,,0,False,Timeout,Mock Timeout play #39,-0.6797363038446941,2025-11-07T13:54:18.000Z
401760663_91770,401760663_4,401760663,4,40,Kennesaw State,Conference USA,11,UCF,Kennesaw State,UCF,Big 12,4,3,"{""minutes"": 3, ""seconds"": 16}",3,2,home 49,5,3.0,12.0,-12,False,Run,Mock Run play #40,0.6411471959887792,2025-11-18T02:32:01.000Z
401760663_91771,401760663_4,401760663,4,41,UCF,Big 12,21,Kennesaw State,Kennesaw State,UCF,Conference USA,2,3,"{""minutes"": 13, ""seconds"": 59}",2,3,away 64,96,4.0,10.0,-5,False,Run,Mock Run play #41,0.29678878584888835,2025-11-02T20:12:30.000Z
401760663_91772,401760663_4,401760663,4,42,Kennesaw State,Conference USA,17,UCF,Kennesaw State,UCF,Big 12,33,3,"{""minutes"": 3, ""seconds"": 38}",2,2,home 47,49,2.0,8.0,0,False,Run,Mock Run play #42,-0.1384112344262801,2025-12-07T04:30:22.000Z
401760663_91773,401760663_4,401760663,4,43,Kennesaw State,Conference USA,0,UCF,Kennesaw State,UCF,Big 12,13,4,"{""minutes"": 4, ""seconds"": 56}",1,2,home 11,78,2.0,17.0,12,False,Pass,Mock Pass play #43,-0.34810040541789056,2025-12-23T01:22:01.000Z
401760663_91774,401760663_4,401760663,4,44,Kennesaw State,Conference USA,32,UCF,Kennesaw State,UCF,Big 12,31,4,"{""minutes"": 13, ""seconds"": 44}",3,1,home 27,37,1.0,7.0,7,False,Pass,Mock Pass play #44,-0.055167280035386124,2025-11-09T07:03:48.000Z
401760663_91775,401760663_4,401760663,4,45,Kennesaw State,Conference USA,16,UCF,Kennesaw State,UCF,Big 12,5,4,"{""minutes"": 3, ""seconds"": 30}",3,3,home 47,85,,,-4,False,Pass,Mock Pass play #45,0.7582913714622981,2025-11-09T04:30:08.000Z
401760663_91776,401760663_4,401760663,4,46,Kennesaw State,Conference USA,6,UCF,Kennesaw State,UCF,Big 12,0,4,"{""minutes"": 1, ""seconds"": 55}",3,0,home 52,80,,,0,False,Kickoff,Mock Kickoff play #46,-0.39552857788614293,2025-12-01T15:06:26.000Z
401760663_91777,401760663_4,401760663,4,47,Kennesaw State,Conference USA,61,UCF,Kennesaw State,UCF,Big 12,16,4,"{""minutes"": 14, ""seconds"": 7}",3,1,home 36,7,2.0,12.0,9,False,Pass,Mock Pass play #47,0.23553406376742247,2025-11-13T06:34:57.000Z
401760663_91778,401760663_5,401760663,5,48,UCF,Big 12,0,Kennesaw State,Kennesaw State,UCF,Conference USA,15,4,"{""minutes"": 6, ""seconds"": 44}",0,1,away 31,37,2.0,5.0,10,False,Pass,Mock Pass play #48,-0.16517772236460707,2025-11-08T14:52:02.000Z
401760663_91779,401760663_5,401760663,5,49,UCF,Big 12,9,Kennesaw State,Kennesaw State,UCF,Conference USA,31,4,"{""minutes"": 5, ""seconds"": 58}",0,2,away 83,69,1.0,5.0,12,False,Run,Mock Run play #49,-0.016779554122240855,2025-12-04T17:18:28.000Z
401760664_91780,401760664_1,401760664,1,0,Akron,Mid-American,21,TCU,Akron,TCU,Big 12,5,1,"{""minutes"": 3, ""seconds"": 0}",0,0,home 88,66,1.0,10.0,-4,False,Run,Mock Run play #0,0.8822706140227683,2025-12-15T20:42:48.000Z
401760664_91781,401760664_1,401760664,1,1,Akron,Mid-American,0,TCU,Akron,TCU,Big 12,22,1,"{""minutes"": 2, ""seconds"": 18}",1,1,home 91,95,4.0,14.0,5,False,Pass,Mock Pass play #1,0.5346682392668832,2025-12-12T20:14:57.000Z
401760664_91782,401760664_1,401760664,1,2,Akron,Mid-American,51,TCU,Akron,TCU,Big 12,35,1,"{""minutes"": 10, ""seconds"": 18}",0,2,home 6,14,,,0,False,Field Goal,Mock Field Goal play #2,0.1445037285539092,2025-11-04T01:32:32.000Z
401760664_91783,401760664_1,401760664,1,3,Akron,Mid-American,0,TCU,Akron,TCU,Big 12,37,1,"{""minutes"": 8, ""seconds"": 38}",3,3,home 82,93,3.0,3.0,8,False,Pass,Mock Pass play #3,-0.10501333602621873,2025-12-18T22:09:54.000Z
401760664_91784,401760664_1,401760664,1,4,TCU,Big 12,15,Akron,Akron,TCU,Mid-American,20,1,"{""minutes"": 1, ""seconds"": 27}",3,0,away 74,13,,,0,False,Field Goal,Mock Field Goal play #4,0.32337188625480845,2025-12-14T05:21:36.000Z
401760664_91785,401760664_1,401760664,1,5,Akron,Mid-American,11,TCU,Akron,TCU,Big 12,0,1,"{""minutes"": 15, ""seconds"": 1}",2,2,home 91,33,2.0,10.0,8,False,Pass,Mock Pass play #5,0.0593935882561862,2025-12-17T21:22:12.000Z
401760664_91786,401760664_1,401760664,1,6,TCU,Big 12,12,Akron,Akron,TCU,Mid-American,40,1,"{""minutes"": 2, ""seconds"": 39}",1,3,away 15,86,4.0,15.0,15,False,Pass,Mock Pass play #6,-0.5098545549571643,2025-12-12T08:25:18.000Z
401760664_91787,401760664_1,401760664,1,7,TCU,Big 12,20,Akron,Akron,TCU,Mid-American,41,1,"{""minutes"": 7, ""seconds"": 28}",3,1,away 22,82,3.0,5.0,0,False,Run,Mock Run play #7,0.6637666414009168,2025-11-21T21:07:49.000Z
401760664_91788,401760664_1,401760664,1,8,Akron,Mid-American,29,TCU,Akron,TCU,Big 12,37,1,"{""minutes"": 11, ""seconds"": 2}",1,0,home 23,35,2.0,8.0,-1,False,Pass,Mock Pass play #8,0.6761395624750516,2025-11-23T18:35:50.000Z
401760664_91789,401760664_1,401760664,1,9,Akron,Mid-American,38,TCU,Akron,TCU,Big 12,21,1,"{""minutes"": 10, ""seconds"": 19}",3,2,home 63,83,3.0,6.0,2,False,Pass,Mock Pass play #9,-0.6447832437376217,2025-12-16T20:46:07.000Z
401760664_91790,401760664_1,401760664,1,10,Akron,Mid-American,40,TCU,Akron,TCU,Big 12,10,1,"{""minutes"": 8, ""seconds"": 41}",3,1,home 32,33,,,0,False,Timeout,Mock Timeout play #10,-0.04309735468499136,2025-11-14T16:50:13.000Z
401760664_91791,401760664_1,401760664,1,11,TCU,Big 12,30,Akron,Akron,TCU,Mid-American,11,1,"{""minutes"": 3, ""seconds"": 52}",2,3,away 3,73,3.0,4.0,4,False,Run,Mock Run play #11,0.1807631266812631,2025-12-11T10:03:00.000Z
401760664_91792,401760664_2,401760664,2,12,TCU,Big 12,24,Akron,Akron,TCU,Mid-American,22,1,"{""minutes"": 8, ""seconds"": 55}",3,1,away 94,38,2.0,12.0,-5,False,Run,Mock Run play #12,0.5681172790315749,2025-12-14T00:01:28.000Z
401760664_91793,401760664_2,401760664,2,13,Akron,Mid-American,19,TCU,Akron,TCU,Big 12,37,1,"{""minutes"": 3, ""seconds"": 4}",0,0,home 24,60,1.0,16.0,-12,False,Pass,Mock Pass play #13,0.17726331426144,2025-12-08T11:02:23.000Z
401760664_91794,401760664_2,401760664,2,14,TCU,Big 12,0,Akron,Akron,TCU,Mid-American,0,1,"{""minutes"": 15, ""seconds"": 9}",1,1,away 21,37,2.0,13.0,14,False,Pass,Mock Pass play #14,0.009451336352899494,2025-11-16T04:13:24.000Z
401760664_91795,401760664_2,401760664,2,15,TCU,Big 12,41,Akron,Akron,TCU,Mid-American,19,1,"{""minutes"": 2, ""seconds"": 23}",0,0,away 79,2,,,0,False,Punt,Mock Punt play #15,0.07854638952289866,2025-12-02T09:12:24.000Z
401760664_91796,401760664_2,401760664,2,16,Akron,Mid-American,19,TCU,Akron,TCU,Big 12,28,1,"{""minutes"": 4, ""seconds"": 5}",1,0,home 24,11,2.0,10.0,15,False,Run,Mock Run play #16,0.19046933448469333,2025-12-11T14:46:52.000Z
401760664_91797,401760664_2,401760664,2,17,TCU,Big 12,0,Akron,Akron,TCU,Mid-American,0,1,"{""minutes"": 2, ""seconds"": 20}",2,3,away 34,61,,,9,False,Run,Mock Run play #17,-0.5731682954377056,2025-12-01T14:08:55.000Z
401760664_91798,401760664_2,401760664,2,18,Akron,Mid-American,20,TCU,Akron,TCU,Big 12,11,1,"{""minutes"": 5, ""seconds"": 37}",2,2,home 25,30,2.0,12.0,14,False,Pass,Mock Pass play #18,0.22872003663493448,2025-12-02T10:15:33.000Z
401760664_91799,401760664_2,401760664,2,19,TCU,Big 12,27,Akron,Akron,TCU,Mid-American,13,1,"{""minutes"": 8, ""seconds"": 49}",1,0,away 62,21,1.0,5.0,-1,False,Run,Mock Run play #19,0.05369264536657112,2025-12-14T05:55:28.000Z
401760664_91800,401760664_2,401760664,2,20,TCU,Big 12,38,Akron,Akron,TCU,Mid-American,6,1,"{""minutes"": 8, ""seconds"": 30}",3,1,away 5,43,2.0,2.0,-2,False,Run,Mock Run play #20,-0.05448749181565493,2025-11-10T03:50:27.000Z
401760664_91801,401760664_2,401760664,2,21,Akron,Mid-American,29,TCU,Akron,TCU,Big 12,24,1,"{""minutes"": 2, ""seconds"": 4}",2,0,home 12,24,2.0,6.0,1,False,Pass,Mock Pass play #21,0.31189034415866523,2025-11-19T03:53:49.000Z
401760664_91802,401760664_2,401760664,2,22,Akron,Mid-American,0,TCU,Akron,TCU,Big 12,35,1,"{""minutes"": 10, ""seconds"": 22}",2,3,home 40,97,,,0,False,Kneel,Mock Kneel play #22,-0.05486614927880346,2025-11-02T19:47:25.000Z
401760664_91803,401760664_2,401760664,2,23,TCU,Big 12,25,Akron,Akron,TCU,Mid-American,24,1,"{""minutes"": 8, ""seconds"": 6}",1,0,away 33,58,,,0,False,Punt,Mock Punt play #23,0.38412779783418605,2025-12-06T10:05:34.000Z
401760664_91804,401760664_3,401760664,3,24,TCU,Big 12,37,Akron,Akron,TCU,Mid-American,28,1,"{""minutes"": 1, ""seconds"": 53}",3,2,away 35,23,1.0,10.0,-5,False,Pass,Mock Pass play #24,-0.1299307959224436,2025-12-09T18:21:01.000Z
401760664_91805,401760664_3,401760664,3,25,Akron,Mid-American,43,TCU,Akron,TCU,Big 12,0,1,"{""minutes"": 3, ""seconds"": 49}",3,3,home 16,49,,,0,False,Kneel,Mock Kneel play #25,0.6575731794655477,2025-11-07T18:38:50.000Z
401760664_91806,401760664_3,401760664,3,26,Akron,Mid-American,17,TCU,Akron,TCU,Big 12,0,1,"{""minutes"": 7, ""seconds"": 2}",1,3,home 68,7,2.0,5.0,1,False,Pass,Mock Pass play #26,0.020880102705402116,2025-12-03T18:12:14.000Z
401760664_91807,401760664_3,401760664,3,27,Akron,Mid-American,11,TCU,Akron,TCU,Big 12,21,1,"{""minutes"": 14, ""seconds"": 29}",0,0,home 28,44,1.0,11.0,-3,False,Pass,Mock Pass play #27,0.13362039658088745,2025-12-10T05:10:35.000Z
401760664_91808,401760664_3,401760664,3,28,Akron,Mid-American,32,TCU,Akron,TCU,Big 12,5,1,"{""minutes"": 2, ""seconds"": 31}",2,2,home 23,41,,,6,False,Run,Mock Run play #28,-0.045211903660903274,2025-11-10T21:42:24.000Z
401760664_91809,401760664_3,401760664,3,29,Akron,Mid-American,45,TCU,Akron,TCU,Big 12,18,1,"{""minutes"": 8, ""seconds"": 25}",1,2,home 63,78,2.0,13.0,-12,False,Run,Mock Run play #29,-0.21527896279561046,2025-12-01T22:45:50.000Z
401760664_91810,401760664_3,401760664,3,30,Akron,Mid-American,15,TCU,Akron,TCU,Big 12,0,1,"{""minutes"": 14, ""seconds"": 35}",0,1,home 79,58,3.0,9.0,-10,False,Pass,Mock Pass play #30,-0.40426697618345714,2025-12-07T13:02:16.000Z
401760664_91811,401760664_3,401760664,3,31,TCU,Big 12,19,Akron,Akron,TCU,Mid-American,21,1,"{""minutes"": 4, ""seconds"": 2}",3,1,away 76,22,1.0,10.0,4,False,Run,Mock Run play #31,-0.0656257531889632,2025-12-05T17:23:09.000Z
401760664_91812,401760664_3,401760664,3,32,Akron,Mid-American,65,TCU,Akron,TCU,Big 12,0,1,"{""minutes"": 11, ""seconds"": 34}",2,2,home 87,47,,,-4,False,Pass,Mock Pass play #32,0.25325645770829613,2025-12-10T09:10:36.000Z
401760664_91813,401760664_3,401760664,3,33,Akron,Mid-American,21,TCU,Akron,TCU,Big 12,32,1,"{""minutes"": 12, ""seconds"": 24}",2,2,home 29,83,4.0,5.0,13,False,Pass,Mock Pass play #33,0.30700458233842154,2025-12-05T14:13:54.000Z
401760664_91814,401760664_3,401760664,3,34,TCU,Big 12,15,Akron,Akron,TCU,Mid-American,27,1,"{""minutes"": 11, ""seconds"": 42}",1,1,away 67,21,,,6,False,Pass,Mock Pass play #34,-0.19889294821704737,2025-11-23T05:56:05.000Z
401760664_91815,401760664_3,401760664,3,35,TCU,Big 12,0,Akron,Akron,TCU,Mid-American,0,1,"{""minutes"": 9, ""seconds"": 29}",3,2,away 58,51,4.0,1.0,16,False,Run,Mock Run play #35,0.15192128950352116,2025-12-18T02:51:18.000Z
401760664_91816,401760664_4,401760664,4,36,TCU,Big 12,18,Akron,Akron,TCU,Mid-American,11,1,"{""minutes"": 12, ""seconds"": 15}",3,3,away 94,95,1.0,10.0,4,False,Pass,Mock Pass play #36,-0.04481288551462398,2025-12-19T05:41:41.000Z
401760664_91817,401760664_4,401760664,4,37,Akron,Mid-American,25,TCU,Akron,TCU,Big 12,19,1,"{""minutes"": 1, ""seconds"": 29}",1,2,home 88,20,3.0,9.0,0,False,Run,Mock Run play #37,-0.7455200555125446,2025-11-16T06:57:40.000Z
401760664_91818,401760664_4,401760664,4,38,Akron,Mid-American,12,TCU,Akron,TCU,Big 12,0,2,"{""minutes"": 11, ""seconds"": 57}",0,0,home 48,4,1.0,1.0,0,False,Run,Mock Run play #38,0.22051506628294792,2025-12-01T11:12:50.000Z
401760664_91819,401760664_4,401760664,4,39,Akron,Mid-American,35,TCU,Akron,TCU,Big 12,9,2,"{""minutes"": 2, ""seconds"": 42}",0,2,home 23,32,,,0,False,Timeout,Mock Timeout play #39,0.3648213257984148,2025-12-04T02:36:19.000Z
401760664_91820,401760664_4,401760664,4,40,TCU,Big 12,14,Akron,Akron,TCU,Mid-American,10,2,"{""minutes"": 8, ""seconds"": 48}",0,1,away 23,52,1.0,4.0,-4,False,Run,Mock Run play #40,-0.27076032437180186,2025-12-09T10:26:32.000Z
401760664_91821,401760664_4,401760664,4,41,TCU,Big 12,32,Akron,Akron,TCU,Mid-American,32,2,"{""minutes"": 13, ""seconds"": 49}",0,0,away 57,20,,,-1,False,Pass,Mock Pass play #41,0.4376317192667281,2025-11-17T06:39:42.000Z
401760664_91822,401760664_4,401760664,4,42,TCU,Big 12,58,Akron,Akron,TCU,Mid-American,2,2,"{""minutes"": 9, ""seconds"": 52}",0,2,away 97,65,1.0,7.0,-8,False,Pass,Mock Pass play #42,0.10515529227346354,2025-12-19T16:57:05.000Z
401760664_91823,401760664_4,401760664,4,43,Akron,Mid-American,18,TCU,Akron,TCU,Big 12,19,2,"{""minutes"": 4, ""seconds"": 39}",2,3,home 56,83,,,0,False,Timeout,Mock Timeout play #43,-0.13743303849527827,2025-11-17T10:07:14.000Z
401760664_91824,401760664_4,401760664,4,44,Akron,Mid-American,0,TCU,Akron,TCU,Big 12,11,2,"{""minutes"": 2, ""seconds"": 47}",2,0,home 88,62,1.0,1.0,6,False,Pass,Mock Pass play #44,0.07715522306106132,2025-12-08T13:49:11.000Z
401760664_91825,401760664_4,401760664,4,45,Akron,Mid-American,0,TCU,Akron,TCU,Big 12,18,2,"{""minutes"": 5, ""seconds"": 24}",0,0,home 41,90,,,-5,False,Run,Mock Run play #45,0.01160945867620448,2025-12-15T04:39:41.000Z
401760664_91826,401760664_4,401760664,4,46,Akron,Mid-American,12,TCU,Akron,TCU,Big 12,37,2,"{""minutes"": 6, ""seconds"": 32}",1,2,home 10,27,1.0,14.0,15,False,Pass,Mock Pass play #46,-0.12149165907373176,2025-11-07T10:10:39.000Z
401760664_91827,401760664_4,401760664,4,47,Akron,Mid-American,38,TCU,Akron,TCU,Big 12,23,2,"{""minutes"": 3, ""seconds"": 9}",0,3,home 97,76,2.0,13.0,0,False,Run,Mock Run play #47,-0.5579389180619511,2025-11-17T20:26:32.000Z
401760664_91828,401760664_5,401760664,5,48,TCU,Big 12,16,Akron,Akron,TCU,Mid-American,14,2,"{""minutes"": 2, ""seconds"": 34}",1,0,away 2,41,3.0,4.0,-4,False,Pass,Mock Pass play #48,-0.3196977909204773,2025-11-14T05:41:07.000Z
401760664_91829,401760664_5,401760664,5,49,TCU,Big 12,6,Akron,Akron,TCU,Mid-American,32,2,"{""minutes"": 10, ""seconds"": 4}",1,1,away 18,30,,,0,False,Field Goal,Mock Field Goal play #49,0.667815858725193,2025-12-18T14:57:53.000Z
401760664_91830,401760664_5,401760664,5,50,TCU,Big 12,8,Akron,Akron,TCU,Mid-American,35,2,"{""minutes"": 13, ""seconds"": 3}",0,2,away 98,69,1.0,8.0,8,False,Run,Mock Run play #50,-0.04909101462827562,2025-11-01T14:54:38.000Z
401760664_91831,401760664_5,401760664,5,51,TCU,Big 12,0,Akron,Akron,TCU,Mid-American,34,2,"{""minutes"": 7, ""seconds"": 55}",0,1,away 53,56,4.0,8.0,-11,False,Run,Mock Run play #51,-0.028581990363110377,2025-11-01T14:30:54.000Z
401760664_91832,401760664_5,401760664,5,52,TCU,Big 12,0,Akron,Akron,TCU,Mid-American,16,2,"{""minutes"": 6, ""seconds"": 12}",1,3,away 93,47,1.0,8.0,3,False,Run,Mock Run play #52,0.1826066822198541,2025-11-21T07:16:02.000Z
401760664_91833,401760664_5,401760664,5,53,Akron,Mid-American,19,TCU,Akron,TCU,Big 12,39,2,"{""minutes"": 14, ""seconds"": 8}",1,0,home 11,96,1.0,9.0,13,False,Run,Mock Run play #53,0.04941655315551911,2025-11-10T22:50:58.000Z
401760664_91834,401760664_5,401760664,5,54,TCU,Big 12,13,Akron,Akron,TCU,Mid-American,11,2,"{""minutes"": 15, ""seconds"": 36}",1,0,away 4,98,,,22,False,Pass,Mock Pass play #54,-0.06136735025041529,2025-11-20T18:23:27.000Z
401760664_91835,401760664_5,401760664,5,55,Akron,Mid-American,27,TCU,Akron,TCU,Big 12,19,2,"{""minutes"": 14, ""seconds"": 7}",1,1,home 67,15,4.0,3.0,1,False,Run,Mock Run play #55,0.34098319897465335,2025-11-08T00:15:54.000Z
401760664_91836,401760664_5,401760664,5,56,TCU,Big 12,31,Akron,Akron,TCU,Mid-American,49,2,"{""minutes"": 5, ""seconds"": 35}",1,2,away 63,90,1.0,7.0,5,False,Run,Mock Run play #56,0.5857827854510121,2025-11-05T11:14:26.000Z
401760664_91837,401760664_5,401760664,5,57,TCU,Big 12,0,Akron,Akron,TCU,Mid-American,21,2,"{""minutes"": 13, ""seconds"": 45}",3,1,away 49,25,1.0,8.0,0,False,Pass,Mock Pass play #57,-0.8825503868179508,2025-12-20T01:09:14.000Z
401760664_91838,401760664_5,401760664,5,58,Akron,Mid-American,18,TCU,Akron,TCU,Big 12,14,2,"{""minutes"": 3, ""seconds"": 13}",0,2,home 51,84,4.0,7.0,10,False,Run,Mock Run play #58,-0.09767956591788537,2025-11-15T22:50:39.000Z
401760664_91839,401760664_5,401760664,5,59,TCU,Big 12,11,Akron,Akron,TCU,Mid-American,31,2,"{""minutes"": 3, ""seconds"": 1}",0,2,away 23,93,2.0,8.0,8,False,Run,Mock Run play #59,-0.3399488215786736,2025-12-19T09:05:36.000Z
401760664_91840,401760664_6,401760664,6,60,TCU,Big 12,28,Akron,Akron,TCU,Mid-American,27,2,"{""minutes"": 8, ""seconds"": 8}",2,3,away 29,63,2.0,6.0,7,False,Pass,Mock Pass play #60,0.2711650934936257,2025-12-21T09:15:29.000Z
401760664_91841,401760664_6,401760664,6,61,TCU,Big 12,76,Akron,Akron,TCU,Mid-American,29,2,"{""minutes"": 8, ""seconds"": 50}",0,0,away 67,37,4.0,11.0,3,False,Pass,Mock Pass play #61,0.04262373531796009,2025-12-16T17:43:01.000Z
401760664_91842,401760664_6,401760664,6,62,TCU,Big 12,0,Akron,Akron,TCU,Mid-American,30,2,"{""minutes"": 14, ""seconds"": 42}",3,2,away 70,44,2.0,2.0,4,False,Run,Mock Run play #62,0.21860626732298638,2025-12-19T18:15:46.000Z
401760664_91843,401760664_6,401760664,6,63,Akron,Mid-American,16,TCU,Akron,TCU,Big 12,8,2,"{""minutes"": 15, ""seconds"": 44}",3,0,home 43,81,2.0,7.0,-6,False,Run,Mock Run play #63,-0.07250598237486013,2025-12-13T09:08:55.000Z
401760664_91844,401760664_6,401760664,6,64,TCU,Big 12,35,Akron,Akron,TCU,Mid-American,23,2,"{""minutes"": 6, ""seconds"": 33}",0,3,away 30,82,1.0,3.0,-9,False,Run,Mock Run play #64,-0.023741202563035507,2025-11-06T06:08:22.000Z
401760664_91845,401760664_6,401760664,6,65,TCU,Big 12,10,Akron,Akron,TCU,Mid-American,16,2,"{""minutes"": 9, ""seconds"": 45}",2,1,away 20,95,3.0,10.0,17,False,Run,Mock Run play #65,0.10028795811050015,2025-12-16T18:46:58.000Z
401760664_91846,401760664_6,401760664,6,66,TCU,Big 12,19,Akron,Akron,TCU,Mid-American,22,2,"{""minutes"": 2, ""seconds"": 35}",1,0,away 39,40,,,0,False,Pass,Mock Pass play #66,0.1152681900411019,2025-11-10T15:09:07.000Z
401760664_91847,401760664_6,401760664,6,67,Akron,Mid-American,44,TCU,Akron,TCU,Big 12,14,2,"{""minutes"": 15, ""seconds"": 55}",0,0,home 7,44,,,0,False,Run,Mock Run play #67,-0.3139732472113277,2025-11-12T16:40:25.000Z
401760664_91848,401760664_6,401760664,6,68,TCU,Big 12,51,Akron,Akron,TCU,Mid-American,25,2,"{""minutes"": 2, ""seconds"": 36}",1,1,away 8,96,2.0,6.0,0,False,Pass,Mock Pass play #68,0.44232932998048125,2025-11-10T08:07:44.000Z
401760664_91849,401760664_6,401760664,6,69,Akron,Mid-American,15,TCU,Akron,TCU,Big 12,0,2,"{""minutes"": 7, ""seconds"": 25}",1,3,home 95,36,4.0,4.0,8,False,Pass,Mock Pass play #69,0.3426976976230278,2025-12-12T19:29:37.000Z
401760664_91850,401760664_6,401760664,6,70,Akron,Mid-American,8,TCU,Akron,TCU,Big 12,10,2,"{""minutes"": 2, ""seconds"": 27}",2,2,home 46,30,,,0,False,Kickoff,Mock Kickoff play #70,0.061433901854454374,2025-12-12T08:29:58.000Z
401760664_91851,401760664_6,401760664,6,71,TCU,Big 12,4,Akron,Akron,TCU,Mid-American,18,2,"{""minutes"": 9, ""seconds"": 34}",1,0,away 62,13,2.0,7.0,0,False,Pass,Mock Pass play #71,-0.43217111685583326,2025-12-14T21:24:52.000Z
