matchup,spread,predicted_margin,home_win_prob,away_win_prob,ats_pick,model_edge_pts,confidence_grade,model_agreement,ensemble_confidence,model_summary
UCF @ BYU,-17.0,13.279910489525834,0.8665394401550293,0.1334605598449707,UCF +17.0,3.720089510474166,Low,high,0.7191682372275237,"Models see the home side stronger than market: predicted margin +13.3, line BYU -17.0 (home line), giving about 3.7 pts of value on UCF. Home win prob 87%, agreement high, model confidence 0.72."
Iowa @ Nebraska,5.5,-2.0722179039978137,0.3623647210688873,0.6376352789311126,Nebraska +5.5,3.4277820960021863,Low,high,0.974100881134897,"Models see the away side stronger than market: predicted margin -2.1, line Nebraska +5.5 (home line), giving about 3.4 pts of value on Nebraska. Home win prob 36%, agreement high, model confidence 0.97."
Iowa State @ Oklahoma State,14.0,-10.586758035558228,0.0802743801474571,0.9197256198525428,Oklahoma State +14.0,3.413241964441772,Low,high,0.8924389959148008,"Models see the away side stronger than market: predicted margin -10.6, line Oklahoma State +14.0 (home line), giving about 3.4 pts of value on Oklahoma State. Home win prob 8%, agreement high, model confidence 0.89."
Colorado @ Kansas State,-17.0,13.693029567318131,0.8797307646274566,0.1202692353725434,Colorado +17.0,3.3069704326818687,Low,high,0.819265800290349,"Models see the home side stronger than market: predicted margin +13.7, line Kansas State -17.0 (home line), giving about 3.3 pts of value on Colorado. Home win prob 88%, agreement high, model confidence 0.82."
Missouri @ Arkansas,2.5,0.6233988967589765,0.4586367496673441,0.5413632503326559,Arkansas +2.5,3.1233988967589763,Low,moderate,0.9408648327008212,"Models see the home side stronger than market: predicted margin +0.6, line Arkansas +2.5 (home line), giving about 3.1 pts of value on Arkansas. Home win prob 46%, agreement moderate, model confidence 0.94."
Ohio State @ Michigan,9.5,-6.442020436843702,0.2063003448958198,0.7936996551041802,Michigan +9.5,3.057979563156298,Low,high,0.9836002972363828,"Models see the away side stronger than market: predicted margin -6.4, line Michigan +9.5 (home line), giving about 3.1 pts of value on Michigan. Home win prob 21%, agreement high, model confidence 0.98."
UL Monroe @ Louisiana,-10.5,7.742659256702918,0.7128960482367706,0.2871039517632294,UL Monroe +10.5,2.757340743297082,Low,moderate,0.6590169566166362,"Models see the home side stronger than market: predicted margin +7.7, line Louisiana -10.5 (home line), giving about 2.8 pts of value on UL Monroe. Home win prob 71%, agreement moderate, model confidence 0.66."
Fresno State @ San José State,2.5,0.0735230186165698,0.4389983254479724,0.5610016745520277,San José State +2.5,2.57352301861657,Low,moderate,0.8835503178694675,"Models see the home side stronger than market: predicted margin +0.1, line San José State +2.5 (home line), giving about 2.6 pts of value on San José State. Home win prob 44%, agreement moderate, model confidence 0.88."
Florida International @ Sam Houston,10.0,-7.497347217334681,0.1686101027354277,0.8313898972645722,Sam Houston +10.0,2.5026527826653187,Low,high,0.774123750123258,"Models see the away side stronger than market: predicted margin -7.5, line Sam Houston +10.0 (home line), giving about 2.5 pts of value on Sam Houston. Home win prob 17%, agreement high, model confidence 0.77."
Ohio @ Buffalo,6.0,-3.5365938161383013,0.3100655813495842,0.6899344186504158,Buffalo +6.0,2.4634061838616987,Low,high,0.6845735549812755,"Models see the away side stronger than market: predicted margin -3.5, line Buffalo +6.0 (home line), giving about 2.5 pts of value on Buffalo. Home win prob 31%, agreement high, model confidence 0.68."
Western Michigan @ Eastern Michigan,7.0,-4.578385373012065,0.2728587400326641,0.7271412599673359,Eastern Michigan +7.0,2.4216146269879353,Low,high,0.7996954449412761,"Models see the away side stronger than market: predicted margin -4.6, line Eastern Michigan +7.0 (home line), giving about 2.4 pts of value on Eastern Michigan. Home win prob 27%, agreement high, model confidence 0.80."
UNLV @ Nevada,7.5,-5.106212203201791,0.2540077818116024,0.7459922181883976,Nevada +7.5,2.3937877967982093,Low,high,0.9539402009059572,"Models see the away side stronger than market: predicted margin -5.1, line Nevada +7.5 (home line), giving about 2.4 pts of value on Nevada. Home win prob 25%, agreement high, model confidence 0.95."
Toledo @ Central Michigan,10.5,-8.141702906082473,0.1455973995658637,0.8544026004341363,Central Michigan +10.5,2.3582970939175265,Low,high,0.8192190347830779,"Models see the away side stronger than market: predicted margin -8.1, line Central Michigan +10.5 (home line), giving about 2.4 pts of value on Central Michigan. Home win prob 15%, agreement high, model confidence 0.82."
Oregon State @ Washington State,-13.5,11.169662681390214,0.8350956118106841,0.1649043881893158,Oregon State +13.5,2.3303373186097858,Low,high,0.8398162858398186,"Models see the home side stronger than market: predicted margin +11.2, line Washington State -13.5 (home line), giving about 2.3 pts of value on Oregon State. Home win prob 84%, agreement high, model confidence 0.84."
Kent State @ Northern Illinois,-5.0,3.185900969667842,0.5501546808426607,0.4498453191573393,Kent State +5.0,1.8140990303321578,Low,moderate,0.6222499113166635,"Models see the home side stronger than market: predicted margin +3.2, line Northern Illinois -5.0 (home line), giving about 1.8 pts of value on Kent State. Home win prob 55%, agreement moderate, model confidence 0.62."
Ole Miss @ Mississippi State,7.5,-5.706980253296564,0.2325517800225033,0.7674482199774966,Mississippi State +7.5,1.7930197467034361,Low,high,0.7778971537244981,"Models see the away side stronger than market: predicted margin -5.7, line Mississippi State +7.5 (home line), giving about 1.8 pts of value on Mississippi State. Home win prob 23%, agreement high, model confidence 0.78."
Kennesaw State @ Liberty,2.0,-0.3017012465131934,0.4255974588361952,0.5744025411638047,Liberty +2.0,1.6982987534868066,Low,moderate,0.7224445531199819,"Models see the away side stronger than market: predicted margin -0.3, line Liberty +2.0 (home line), giving about 1.7 pts of value on Liberty. Home win prob 43%, agreement moderate, model confidence 0.72."
Arkansas State @ App State,-3.0,1.3111584285737587,0.4831995900893006,0.5168004099106994,Arkansas State +3.0,1.6888415714262413,Low,moderate,0.6217475216842019,"Models see the home side stronger than market: predicted margin +1.3, line App State -3.0 (home line), giving about 1.7 pts of value on Arkansas State. Home win prob 48%, agreement moderate, model confidence 0.62."
Oregon @ Washington,6.5,-4.816411173364152,0.2643578185915181,0.7356421814084819,Washington +6.5,1.683588826635848,Low,high,0.6891525236315175,"Models see the away side stronger than market: predicted margin -4.8, line Washington +6.5 (home line), giving about 1.7 pts of value on Washington. Home win prob 26%, agreement high, model confidence 0.69."
Louisiana Tech @ Missouri State,-3.0,1.3198103205676943,0.4835085862319412,0.5164914137680587,Louisiana Tech +3.0,1.6801896794323057,Low,moderate,0.7526657359816462,"Models see the home side stronger than market: predicted margin +1.3, line Missouri State -3.0 (home line), giving about 1.7 pts of value on Louisiana Tech. Home win prob 48%, agreement moderate, model confidence 0.75."
Air Force @ Colorado State,3.0,-4.675112213076716,0.2694042100303551,0.7305957899696449,Air Force -3.0,1.6751122130767158,Low,high,0.677657454522029,"Models see the away side stronger than market: predicted margin -4.7, line Colorado State +3.0 (home line), giving about 1.7 pts of value on Air Force. Home win prob 27%, agreement high, model confidence 0.68."
Western Kentucky @ Jacksonville State,2.0,-0.4149971669322476,0.4215511759640861,0.5784488240359139,Jacksonville State +2.0,1.5850028330677524,Low,moderate,0.7808585460867025,"Models see the away side stronger than market: predicted margin -0.4, line Jacksonville State +2.0 (home line), giving about 1.6 pts of value on Jacksonville State. Home win prob 42%, agreement moderate, model confidence 0.78."
Miami @ Pittsburgh,6.5,-4.927512562790184,0.2603899118263026,0.7396100881736973,Pittsburgh +6.5,1.5724874372098157,Low,high,0.6951972129244548,"Models see the away side stronger than market: predicted margin -4.9, line Pittsburgh +6.5 (home line), giving about 1.6 pts of value on Pittsburgh. Home win prob 26%, agreement high, model confidence 0.70."
Georgia Southern @ Marshall,-7.5,5.991867682579443,0.6503677777323608,0.3496322222676392,Georgia Southern +7.5,1.5081323174205572,Low,moderate,0.5915488235976829,"Models see the home side stronger than market: predicted margin +6.0, line Marshall -7.5 (home line), giving about 1.5 pts of value on Georgia Southern. Home win prob 65%, agreement moderate, model confidence 0.59."
Army @ UTSA,-7.0,5.511329667853827,0.6332057057778746,0.3667942942221254,Army +7.0,1.4886703321461727,Low,moderate,0.713079606178413,"Models see the home side stronger than market: predicted margin +5.5, line UTSA -7.0 (home line), giving about 1.5 pts of value on Army. Home win prob 63%, agreement moderate, model confidence 0.71."
Wisconsin @ Minnesota,-1.0,-0.4796371378022184,0.4192426055758728,0.5807573944241271,Wisconsin +1.0,1.4796371378022184,Low,moderate,0.6893040489233269,"Models see the away side stronger than market: predicted margin -0.5, line Minnesota -1.0 (home line), giving about 1.5 pts of value on Wisconsin. Home win prob 42%, agreement moderate, model confidence 0.69."
South Alabama @ Texas State,-9.0,7.598215308939507,0.7077373358166488,0.2922626641833512,South Alabama +9.0,1.4017846910604934,Low,moderate,0.6381678945038449,"Models see the home side stronger than market: predicted margin +7.6, line Texas State -9.0 (home line), giving about 1.4 pts of value on South Alabama. Home win prob 71%, agreement moderate, model confidence 0.64."
North Carolina @ NC State,-7.0,5.6227768948099195,0.6371859638834493,0.3628140361165507,North Carolina +7.0,1.3772231051900805,Low,moderate,0.6458054723997056,"Models see the home side stronger than market: predicted margin +5.6, line NC State -7.0 (home line), giving about 1.4 pts of value on North Carolina. Home win prob 64%, agreement moderate, model confidence 0.65."
East Carolina @ Florida Atlantic,6.5,-5.2603544730827085,0.2485027007444268,0.7514972992555732,Florida Atlantic +6.5,1.2396455269172915,Low,high,0.7093703527465371,"Models see the away side stronger than market: predicted margin -5.3, line Florida Atlantic +6.5 (home line), giving about 1.2 pts of value on Florida Atlantic. Home win prob 25%, agreement high, model confidence 0.71."
Florida State @ Florida,-1.0,-0.0924836248307505,0.4330695167534253,0.5669304832465747,Florida State +1.0,1.0924836248307506,Low,moderate,0.6081226432569156,"Models see the away side stronger than market: predicted margin -0.1, line Florida -1.0 (home line), giving about 1.1 pts of value on Florida State. Home win prob 43%, agreement moderate, model confidence 0.61."
Wyoming @ Hawai'i,-10.0,8.97713738615524,0.7569845528600678,0.2430154471399321,Wyoming +10.0,1.0228626138447598,Low,high,0.7966498223292835,"Models see the home side stronger than market: predicted margin +9.0, line Hawai'i -10.0 (home line), giving about 1.0 pts of value on Wyoming. Home win prob 76%, agreement high, model confidence 0.80."
Middle Tennessee @ New Mexico State,-5.0,4.142549331877921,0.584320693778735,0.415679306221265,Middle Tennessee +5.0,0.8574506681220786,Low,high,0.8980453681944245,"Models see the home side stronger than market: predicted margin +4.1, line New Mexico State -5.0 (home line), giving about 0.9 pts of value on Middle Tennessee. Home win prob 58%, agreement high, model confidence 0.90."
Maryland @ Michigan State,-4.0,4.810482201337591,0.6081754391165803,0.3918245608834196,Michigan State -4.0,0.8104822013375914,Low,moderate,0.8106709022095109,"Models see the home side stronger than market: predicted margin +4.8, line Michigan State -4.0 (home line), giving about 0.8 pts of value on Michigan State. Home win prob 61%, agreement moderate, model confidence 0.81."
Virginia Tech @ Virginia,-10.5,11.20505827423416,0.8365531560057435,0.1634468439942564,Virginia -10.5,0.70505827423416,Low,high,0.9055778434490696,"Models see the home side stronger than market: predicted margin +11.2, line Virginia -10.5 (home line), giving about 0.7 pts of value on Virginia. Home win prob 84%, agreement high, model confidence 0.91."
Clemson @ South Carolina,-2.0,2.4219265581106963,0.5228698804299055,0.4771301195700945,South Carolina -2.0,0.42192655811069635,Low,moderate,0.9265368121642268,"Models see the home side stronger than market: predicted margin +2.4, line South Carolina -2.0 (home line), giving about 0.4 pts of value on South Carolina. Home win prob 52%, agreement moderate, model confidence 0.93."
Vanderbilt @ Tennessee,-3.0,2.611141200808324,0.5296275462405351,0.4703724537594649,Vanderbilt +3.0,0.3888587991916759,Low,moderate,0.5332376514978958,"Models see the home side stronger than market: predicted margin +2.6, line Tennessee -3.0 (home line), giving about 0.4 pts of value on Vanderbilt. Home win prob 53%, agreement moderate, model confidence 0.53."
Boise State @ Utah State,3.0,-2.627811731711786,0.3425220843648168,0.6574779156351831,Utah State +3.0,0.37218826828821383,Low,high,0.7214413881347836,"Models see the away side stronger than market: predicted margin -2.6, line Utah State +3.0 (home line), giving about 0.4 pts of value on Utah State. Home win prob 34%, agreement high, model confidence 0.72."
Northwestern @ Illinois,-6.5,6.159800930036562,0.6563653937129722,0.3436346062870278,Northwestern +6.5,0.34019906996343785,Low,moderate,0.676434032576942,"Models see the home side stronger than market: predicted margin +6.2, line Illinois -6.5 (home line), giving about 0.3 pts of value on Northwestern. Home win prob 66%, agreement moderate, model confidence 0.68."
Troy @ Southern Miss,-7.0,6.664470647371939,0.6743893121892357,0.3256106878107643,Troy +7.0,0.33552935262806116,Low,moderate,0.7743949666102659,"Models see the home side stronger than market: predicted margin +6.7, line Southern Miss -7.0 (home line), giving about 0.3 pts of value on Troy. Home win prob 67%, agreement moderate, model confidence 0.77."
Cincinnati @ TCU,-4.0,4.33292082694205,0.591119675745311,0.408880324254689,TCU -4.0,0.3329208269420496,Low,moderate,0.8091942953566014,"Models see the home side stronger than market: predicted margin +4.3, line TCU -4.0 (home line), giving about 0.3 pts of value on TCU. Home win prob 59%, agreement moderate, model confidence 0.81."
San Diego State @ New Mexico,1.5,-1.8260600814219152,0.3711560718751694,0.6288439281248306,San Diego State -1.5,0.3260600814219152,Low,high,0.5670096025847378,"Models see the away side stronger than market: predicted margin -1.8, line New Mexico +1.5 (home line), giving about 0.3 pts of value on San Diego State. Home win prob 37%, agreement high, model confidence 0.57."
UTEP @ Delaware,-5.0,4.769883545480246,0.6067254871216752,0.3932745128783248,Pass / No Edge,0.23011645451975404,Low,moderate,0.8679619055848842,Models and market are closely aligned; spread looks efficient.
Boston College @ Syracuse,3.0,-2.7718272500595185,0.337378672995255,0.662621327004745,Pass / No Edge,0.22817274994048153,Low,high,0.6056542619391247,Models and market are closely aligned; spread looks efficient.
Kentucky @ Louisville,-3.5,3.29045301068105,0.5538886823074182,0.4461113176925818,Pass / No Edge,0.20954698931894988,Low,moderate,0.8518382401798559,Models and market are closely aligned; spread looks efficient.
Arizona @ Arizona State,-1.0,0.8546881839250078,0.4668970813518452,0.5331029186481548,Pass / No Edge,0.14531181607499222,Low,moderate,0.7908854814147119,Models and market are closely aligned; spread looks efficient.
Wake Forest @ Duke,-2.5,2.3942739080832864,0.5218822857860694,0.4781177142139305,Pass / No Edge,0.10572609191671356,Low,moderate,0.8882327038086856,Models and market are closely aligned; spread looks efficient.
Navy @ Memphis,-5.0,5.0,0.6149439319259521,0.3850560680740479,Pass / No Edge,0.0,Low,moderate,0.6752097976722237,Models and market are closely aligned; spread looks efficient.
